icon,precipIntensity,humidity,windSpeed,cloudCover,uvIndex,temperature,is_weekend
9999,0.0,0.94,2.0,9999.0,0,1.89,0
9999,0.0,0.94,2.0,9999.0,0,1.89,0
9999,0.0,0.81,3.0,9999.0,0,3.91,0
9999,0.0,0.81,3.0,9999.0,0,3.91,0
9999,0.0,0.87,3.0,9999.0,0,1.89,0
9999,0.0,0.87,3.0,9999.0,0,1.89,0
9999,0.0,0.75,3.0,9999.0,0,2.9,0
9999,0.0,0.75,3.0,9999.0,0,2.9,0
9999,0.0,0.75,3.0,9999.0,0,1.89,0
9999,0.0,0.75,3.0,9999.0,0,1.89,0
9999,0.0,0.87,1.0,9999.0,9999,0.89,0
9999,0.0,0.87,1.0,9999.0,9999,0.89,0
clear-day,0.0,0.71,3.0,0.0,0,5.9,0
clear-day,0.0,0.71,3.0,0.0,0,5.9,0
9999,0.0,0.44,2.0,9999.0,9999,10.89,0
9999,0.0,0.44,2.0,9999.0,9999,10.89,0
9999,0.0,0.36,2.0,9999.0,9999,13.9,0
9999,0.0,0.36,2.0,9999.0,9999,13.9,0
9999,0.0,0.27,3.0,9999.0,9999,16.89,0
9999,0.0,0.27,3.0,9999.0,9999,16.89,0
9999,0.0,0.26,2.0,9999.0,9999,17.9,0
9999,0.0,0.26,2.0,9999.0,9999,17.9,0
9999,0.0,0.23,2.0,9999.0,9999,19.9,0
9999,0.0,0.23,2.0,9999.0,9999,19.9,0
clear-day,0.0,0.21,3.0,0.25,2,19.9,0
clear-day,0.0,0.21,3.0,0.25,2,19.9,0
9999,0.0,0.2,5.0,9999.0,9999,19.9,0
9999,0.0,0.2,5.0,9999.0,9999,19.9,0
9999,0.0,0.24,4.01,9999.0,9999,18.9,0
9999,0.0,0.24,4.01,9999.0,9999,18.9,0
9999,0.0,0.27,3.0,9999.0,9999,16.89,0
9999,0.0,0.27,3.0,9999.0,9999,16.89,0
9999,0.0,0.34,3.0,9999.0,0,14.9,0
9999,0.0,0.34,3.0,9999.0,0,14.9,0
9999,0.0,0.67,2.0,9999.0,0,8.9,0
9999,0.0,0.67,2.0,9999.0,0,8.9,0
9999,0.0,0.76,1.0,9999.0,0,6.89,0
9999,0.0,0.76,1.0,9999.0,0,6.89,0
9999,0.0,0.82,1.0,9999.0,0,5.9,0
9999,0.0,0.82,1.0,9999.0,0,5.9,0
9999,0.0,0.82,1.0,9999.0,0,5.9,0
9999,0.0,0.82,1.0,9999.0,0,5.9,0
9999,0.0,0.82,1.0,9999.0,0,4.9,0
9999,0.0,0.82,1.0,9999.0,0,4.9,0
clear-night,0.0,0.84,0.45,0.0,0,6.95,0
clear-night,0.0,0.84,0.45,0.0,0,6.95,0
clear-night,0.0,0.85,0.45,0.0,0,6.64,0
clear-night,0.0,0.85,0.45,0.0,0,6.64,0
clear-night,0.0,0.85,0.9,0.0,0,6.33,0
clear-night,0.0,0.85,0.9,0.0,0,6.33,0
9999,0.0,0.86,0.45,9999.0,0,6.03,0
9999,0.0,0.86,0.45,9999.0,0,6.03,0
fog,0.0,0.87,0.45,0.0,0,6.33,0
fog,0.0,0.87,0.45,0.0,0,6.33,0
fog,0.0,0.9,0.45,0.0,0,6.03,0
fog,0.0,0.9,0.45,0.0,0,6.03,0
fog,0.0,0.88,0.45,0.88,0,6.47,0
fog,0.0,0.88,0.45,0.88,0,6.47,0
fog,0.0,0.86,0.45,0.0,1,8.89,0
fog,0.0,0.86,0.45,0.0,1,8.89,0
fog,0.0,0.75,0.9,0.0,2,10.4,0
fog,0.0,0.75,0.9,0.0,2,10.4,0
fog,0.0,0.69,0.9,0.88,2,11.77,0
fog,0.0,0.69,0.9,0.88,2,11.77,0
fog,0.0,0.63,0.9,0.0,3,13.28,0
fog,0.0,0.63,0.9,0.0,3,13.28,0
fog,0.0,0.56,0.9,0.0,3,14.65,0
fog,0.0,0.56,0.9,0.0,3,14.65,0
fog,0.0,0.54,1.15,0.88,2,14.95,0
fog,0.0,0.54,1.15,0.88,2,14.95,0
fog,0.0,0.54,0.45,0.0,1,15.71,0
fog,0.0,0.54,0.45,0.0,1,15.71,0
fog,0.0,0.59,0.45,0.0,0,14.81,0
fog,0.0,0.59,0.45,0.0,0,14.81,0
fog,0.0,0.64,0.7,0.88,0,13.29,0
fog,0.0,0.64,0.7,0.88,0,13.29,0
fog,0.0,0.74,0.45,0.0,0,12.23,0
fog,0.0,0.74,0.45,0.0,0,12.23,0
clear-night,0.0,0.67,1.35,0.0,0,12.83,0
clear-night,0.0,0.67,1.35,0.0,0,12.83,0
cloudy,0.0,0.69,0.9,0.88,0,12.83,0
cloudy,0.0,0.69,0.9,0.88,0,12.83,0
clear-night,0.0,0.7,1.35,0.0,0,12.07,0
clear-night,0.0,0.7,1.35,0.0,0,12.07,0
clear-night,0.0,0.68,1.35,0.0,0,12.52,0
clear-night,0.0,0.68,1.35,0.0,0,12.52,0
9999,0.0,0.72,0.9,9999.0,0,12.07,0
9999,0.0,0.72,0.9,9999.0,0,12.07,0
clear-night,0.0,0.74,0.9,0.0,0,11.62,0
clear-night,0.0,0.74,0.9,0.0,0,11.62,0
clear-night,0.0,0.76,0.45,0.0,0,11.62,0
clear-night,0.0,0.76,0.45,0.0,0,11.62,0
clear-night,0.0,0.72,0.9,0.0,0,11.93,0
clear-night,0.0,0.72,0.9,0.0,0,11.93,0
clear-night,0.0,0.78,0.9,0.0,0,11.17,0
clear-night,0.0,0.78,0.9,0.0,0,11.17,0
clear-night,0.0,0.81,1.35,0.0,0,10.86,0
clear-night,0.0,0.81,1.35,0.0,0,10.86,0
9999,0.0,0.8,0.25,9999.0,0,11.17,0
9999,0.0,0.8,0.25,9999.0,0,11.17,0
clear-night,0.0,0.79,1.4,0.0,0,11.17,0
clear-night,0.0,0.79,1.4,0.0,0,11.17,0
fog,0.0,0.84,0.45,0.0,0,11.17,0
fog,0.0,0.84,0.45,0.0,0,11.17,0
rain,0.2387,0.84,0.45,9999.0,9999,11.32,0
rain,0.2387,0.84,0.45,9999.0,9999,11.32,0
rain,1.1962,0.82,2.79,1.0,1,11.32,0
rain,1.1962,0.82,2.79,1.0,1,11.32,0
rain,1.5164,0.86,2.54,1.0,2,10.25,0
rain,1.5164,0.86,2.54,1.0,2,10.25,0
rain,0.7969,0.8,2.79,1.0,2,9.95,0
rain,0.7969,0.8,2.79,1.0,2,9.95,0
rain,0.1587,0.77,2.54,1.0,2,9.5,0
rain,0.1587,0.77,2.54,1.0,2,9.5,0
rain,0.1587,0.77,3.28,1.0,2,8.89,0
rain,0.1587,0.77,3.28,1.0,2,8.89,0
rain,0.5573,0.78,3.03,1.0,2,8.13,0
rain,0.5573,0.78,3.03,1.0,2,8.13,0
rain,1.3537,0.78,3.03,1.0,1,7.08,0
rain,1.3537,0.78,3.03,1.0,1,7.08,0
rain,0.7186,0.75,3.73,1.0,0,6.31,0
rain,0.7186,0.75,3.73,1.0,0,6.31,0
cloudy,0.0,0.73,3.93,1.0,0,6.02,0
cloudy,0.0,0.73,3.93,1.0,0,6.02,0
