icon,precipIntensity,humidity,windSpeed,cloudCover,uvIndex,temperature,is_weekend
clear-night,0.0,0.58,5.49,0.0,0,40.46,0
clear-night,0.0,0.58,3.63,0.01,0,40.45,0
clear-night,0.0,0.62,3.66,0.02,0,39.13,0
clear-night,0.0,0.63,3.15,0.0,0,38.72,0
clear-night,0.0,0.62,3.83,0.0,0,38.85,0
clear-night,0.0,0.62,2.97,0.0,0,38.65,0
clear-day,0.0,0.63,3.89,0.02,0,37.66,0
clear-day,0.0,0.62,3.72,0.07,0,39.35,0
clear-day,0.0,0.56,4.33,0.06,2,41.9,0
clear-day,0.0,0.52,5.04,0.06,3,44.09,0
clear-day,0.0,0.49,3.77,0.06,5,46.7,0
clear-day,0.0,0.46,2.6,0.15,6,49.06,0
clear-day,0.0038,0.4,2.63,0.15,7,53.45,0
clear-day,0.0,0.38,3.74,0.17,6,55.81,0
clear-day,0.0,0.38,2.92,0.15,5,55.98,0
clear-day,0.0005,0.39,2.51,0.28,3,56.35,0
partly-cloudy-day,0.0,0.4,2.42,0.32,2,56.41,0
partly-cloudy-day,0.0,0.53,5.31,0.33,0,50.4,0
clear-day,0.0,0.54,5.87,0.3,0,49.49,0
partly-cloudy-night,0.0,0.59,4.64,0.34,0,47.16,0
clear-night,0.0,0.62,4.07,0.29,0,45.72,0
clear-night,0.0,0.64,5.01,0.12,0,44.14,0
clear-night,0.0,0.67,3.59,0.04,0,43.39,0
clear-night,0.0,0.68,2.63,0.02,0,42.19,0
clear-night,0.0,0.67,1.39,0.05,0,42.29,0
clear-night,0.0,0.7,1.08,0.11,0,41.94,0
clear-night,0.0,0.75,0.68,0.13,0,41.23,0
clear-night,0.0,0.75,0.87,0.18,0,41.5,0
clear-night,0.0,0.78,0.73,0.29,0,41.24,0
partly-cloudy-night,0.0,0.82,0.93,0.38,0,41.2,0
partly-cloudy-day,0.0,0.84,0.9,0.37,0,41.54,0
partly-cloudy-day,0.0,0.84,0.67,0.39,0,42.42,0
partly-cloudy-day,0.0,0.82,0.65,0.52,2,43.72,0
partly-cloudy-day,0.0,0.84,2.65,0.83,3,43.74,0
cloudy,0.0,0.81,3.33,0.97,3,45.2,0
rain,0.0033,0.81,1.43,0.99,4,45.7,0
rain,0.0053,0.82,1.58,0.99,4,44.68,0
cloudy,0.0011,0.81,2.19,0.99,4,45.62,0
cloudy,0.0,0.81,4.22,1.0,3,45.53,0
partly-cloudy-day,0.0,0.7,3.4,0.59,3,49.31,0
clear-day,0.0,0.66,2.78,0.25,2,51.5,0
clear-day,0.0,0.7,1.82,0.19,0,51.38,0
clear-day,0.0,0.74,1.32,0.14,0,49.96,0
clear-night,0.0,0.8,1.33,0.22,0,47.28,0
clear-night,0.0,0.83,1.13,0.27,0,45.91,0
clear-night,0.0,0.78,0.56,0.27,0,46.99,0
clear-night,0.0,0.86,0.54,0.28,0,43.94,0
partly-cloudy-night,0.0,0.91,0.17,0.37,0,43.3,0
partly-cloudy-night,0.0,0.91,0.6,0.47,0,43.0,0
partly-cloudy-night,0.0,0.89,0.47,0.6,0,42.89,0
partly-cloudy-night,0.0,0.9,0.68,0.37,0,44.09,0
partly-cloudy-night,0.0,0.87,0.83,0.36,0,44.52,0
partly-cloudy-night,0.0,0.83,1.18,0.37,0,45.32,0
partly-cloudy-night,0.0,0.72,1.59,0.38,0,46.08,0
clear-day,0.0,0.65,1.7,0.23,0,45.84,0
clear-day,0.0,0.58,3.36,0.16,0,46.26,0
clear-day,0.0,0.49,4.64,0.21,2,48.0,0
clear-day,0.0,0.45,2.68,0.2,3,49.74,0
clear-day,0.0,0.39,3.03,0.15,5,52.12,0
clear-day,0.0,0.32,2.69,0.2,6,55.84,0
clear-day,0.0,0.28,2.46,0.15,7,57.75,0
clear-day,0.0,0.25,3.14,0.22,6,61.26,0
clear-day,0.0,0.23,2.47,0.23,5,62.82,0
clear-day,0.0,0.23,3.11,0.24,3,63.21,0
clear-day,0.0,0.26,3.75,0.25,2,61.93,0
clear-day,0.0,0.32,3.43,0.3,0,58.53,0
clear-day,0.0,0.33,3.09,0.29,0,56.93,0
partly-cloudy-night,0.0,0.39,4.04,0.31,0,52.91,0
partly-cloudy-night,0.0,0.42,3.22,0.37,0,50.68,0
cloudy,0.0024,0.47,1.19,0.99,0,50.44,0
rain,0.0081,0.7,1.06,1.0,0,47.48,0
rain,0.0255,0.82,1.57,1.0,0,45.8,0
